score_id,interview_id,competency,score
247,64,Technical Depth,73.27
248,64,Problem Solving,70.85
249,64,Role Fit,65.09
250,64,Ownership,48.9
251,66,Communication,63.24
252,66,Technical Depth,69.17
253,66,Problem Solving,75.16
254,66,Role Fit,65.9
255,66,Ownership,79.55
256,67,Communication,65.61
257,67,Technical Depth,57.0
258,67,Problem Solving,80.35
259,67,Role Fit,78.85
260,67,Ownership,56.54
261,68,Communication,55.69
262,68,Technical Depth,69.34
263,68,Problem Solving,54.59
264,68,Role Fit,70.98
265,68,Ownership,67.83
266,69,Communication,70.35
267,69,Technical Depth,67.18
268,69,Problem Solving,75.05
269,69,Role Fit,61.09
270,69,Ownership,75.15
271,70,Communication,89.58
272,70,Technical Depth,55.54
273,70,Problem Solving,58.87
274,70,Role Fit,58.26
275,70,Ownership,68.29
276,71,Communication,87.44
277,71,Technical Depth,85.53
278,71,Problem Solving,67.24
279,71,Role Fit,70.55
280,71,Ownership,73.86
281,72,Communication,55.48
282,72,Technical Depth,71.79
283,72,Problem Solving,66.27
284,72,Role Fit,49.62
285,72,Ownership,53.74
286,73,Communication,85.23
287,73,Technical Depth,70.77
288,73,Problem Solving,85.63
289,73,Role Fit,67.61
290,73,Ownership,62.57
291,74,Communication,58.35
292,74,Technical Depth,74.53
293,74,Problem Solving,63.08
294,74,Role Fit,74.21
295,74,Ownership,53.5
296,75,Communication,69.81
297,75,Technical Depth,47.06
298,75,Problem Solving,74.14
299,75,Role Fit,67.34
300,75,Ownership,51.42
301,76,Communication,54.71
302,76,Technical Depth,68.2
303,76,Problem Solving,83.69
304,76,Role Fit,69.84
305,76,Ownership,48.5
306,77,Communication,91.02
307,77,Technical Depth,55.66
308,77,Problem Solving,73.71
309,77,Role Fit,52.74
310,77,Ownership,64.84
311,78,Communication,82.22
312,78,Technical Depth,56.6
313,78,Problem Solving,73.11
314,78,Role Fit,61.13
315,78,Ownership,40.01
316,79,Communication,72.99
317,79,Technical Depth,68.17
318,79,Problem Solving,79.94
319,79,Role Fit,100
320,79,Ownership,57.75
321,81,Communication,72.49
322,81,Technical Depth,51.42
323,81,Problem Solving,64.9
324,81,Role Fit,57.06
325,81,Ownership,54.74
326,82,Communication,71.95
327,82,Technical Depth,87.59
328,82,Problem Solving,62.32
329,82,Role Fit,66.32
330,82,Ownership,85.23
331,83,Communication,45.42
332,83,Technical Depth,63.16
333,83,Problem Solving,61.3
334,83,Role Fit,76.79
335,83,Ownership,70.98
336,84,Communication,63.32
337,84,Technical Depth,98.88
338,84,Problem Solving,77.82
339,84,Role Fit,93.95
340,84,Ownership,82.98
341,85,Communication,58.91
342,85,Technical Depth,53.47
343,85,Problem Solving,75.05
344,85,Role Fit,91.94
345,85,Ownership,67.96
346,86,Communication,85.28
347,86,Technical Depth,69.22
348,86,Problem Solving,75.72
349,86,Role Fit,69.49
350,86,Ownership,61.14
351,87,Communication,94.73
352,87,Technical Depth,78.17
353,87,Problem Solving,71.33
354,87,Role Fit,78.64
355,87,Ownership,78.69
356,89,Communication,76.33
357,89,Technical Depth,52.13
358,89,Problem Solving,73.13
359,89,Role Fit,90.14
360,89,Ownership,93.58
361,90,Communication,76.97
362,90,Technical Depth,69.03
363,90,Problem Solving,55.82
364,90,Role Fit,49.72
365,90,Ownership,52.8
366,91,Communication,72.65
367,91,Technical Depth,70.37
368,91,Problem Solving,60.13
369,91,Role Fit,69.08
370,91,Ownership,74.09
371,92,Communication,72.05
372,92,Technical Depth,52.68
373,92,Problem Solving,72.19
374,92,Role Fit,89.54
375,92,Ownership,71.95
376,95,Communication,67.33
377,95,Technical Depth,80.99
378,95,Problem Solving,64.09
379,95,Role Fit,84.63
380,95,Ownership,46.16
381,96,Communication,92.23
382,96,Technical Depth,75.17
383,96,Problem Solving,71.82
384,96,Role Fit,62.51
385,96,Ownership,69.85
386,97,Communication,45.65
387,97,Technical Depth,69.19
388,97,Problem Solving,73.21
389,97,Role Fit,65.12
390,97,Ownership,85.56
391,98,Communication,79.76
392,98,Technical Depth,65.29
393,98,Problem Solving,53.52
394,98,Role Fit,74.86
395,98,Ownership,45.12
396,99,Communication,66.17
397,99,Technical Depth,79.45
398,99,Problem Solving,80.62
399,99,Role Fit,66.88
400,99,Ownership,91.6
401,101,Communication,60.56
402,101,Technical Depth,87.0
403,101,Problem Solving,58.6
404,101,Role Fit,54.66
405,101,Ownership,80.84
406,102,Communication,70.96
407,102,Technical Depth,64.98
408,102,Problem Solving,87.26
409,102,Role Fit,75.76
410,102,Ownership,85.45
411,105,Communication,62.12
412,105,Technical Depth,60.63
413,105,Problem Solving,60.39
414,105,Role Fit,74.69
415,105,Ownership,65.64
416,106,Communication,73.14
417,106,Technical Depth,83.58
418,106,Problem Solving,68.43
419,106,Role Fit,71.29
420,106,Ownership,69.45
421,107,Communication,60.28
422,107,Technical Depth,78.72
423,107,Problem Solving,68.86
424,107,Role Fit,80.67
425,107,Ownership,56.4
426,108,Communication,62.25
427,108,Technical Depth,69.18
428,108,Problem Solving,81.3
429,108,Role Fit,71.53
430,108,Ownership,87.75
431,110,Communication,63.09
432,110,Technical Depth,71.53
433,110,Problem Solving,59.37
434,110,Role Fit,44.98
435,110,Ownership,85.67
436,111,Communication,56.67
437,111,Technical Depth,63.73
438,111,Problem Solving,54.07
439,111,Role Fit,80.7
440,111,Ownership,65.81
441,112,Communication,75.49
442,112,Technical Depth,99.64
443,112,Problem Solving,56.9
444,112,Role Fit,71.81
445,112,Ownership,81.58
446,113,Communication,69.19
447,113,Technical Depth,62.12
448,113,Problem Solving,44.69
449,113,Role Fit,71.0
450,113,Ownership,48.43
451,114,Communication,79.3
452,114,Technical Depth,51.92
453,114,Problem Solving,63.15
454,114,Role Fit,55.37
455,114,Ownership,73.41
456,115,Communication,55.75
457,115,Technical Depth,58.81
458,115,Problem Solving,68.0
459,115,Role Fit,75.08
460,115,Ownership,67.09
461,116,Communication,82.31
462,116,Technical Depth,47.2
463,116,Problem Solving,74.41
464,116,Role Fit,84.22
465,116,Ownership,82.05
466,117,Communication,90.24
467,117,Technical Depth,53.07
468,117,Problem Solving,76.48
469,117,Role Fit,67.13
470,117,Ownership,56.4
471,118,Communication,80.49
472,118,Technical Depth,62.27
473,118,Problem Solving,76.0
474,118,Role Fit,72.19
475,118,Ownership,56.67
476,119,Communication,77.83
477,119,Technical Depth,53.27
478,119,Problem Solving,63.52
479,119,Role Fit,69.1
480,119,Ownership,72.35
481,120,Communication,69.97
482,120,Technical Depth,70.93
483,120,Problem Solving,70.94
484,120,Role Fit,74.58
485,120,Ownership,53.47
