interview_id,candidate_id,job_id,status,scheduled_at,completed_at,duration_minutes
42,51,3,Completed,2026-06-19 10:30:00,2026-06-19 11:17:00,47
43,52,8,Completed,2026-05-23 14:15:00,2026-05-23 15:05:00,50
44,54,1,Completed,2026-05-28 10:00:00,2026-05-28 10:47:00,47
45,55,8,Completed,2026-07-13 14:15:00,2026-07-13 15:10:00,55
46,56,1,Completed,2026-07-16 17:30:00,2026-07-16 17:57:00,27
47,57,2,Completed,2026-05-13 15:00:00,2026-05-13 15:38:00,38
48,58,4,Completed,2026-08-07 17:15:00,2026-08-07 17:44:00,29
49,59,2,Completed,2026-06-28 10:30:00,2026-06-28 11:25:00,55
50,61,5,Completed,2026-06-21 13:15:00,2026-06-21 14:02:00,47
51,62,6,Interrupted,2026-04-03 17:00:00,2026-04-03 17:14:00,14
52,66,5,Completed,2026-07-24 13:30:00,2026-07-24 14:11:00,41
53,67,2,Completed,2026-04-12 11:45:00,2026-04-12 12:09:00,24
54,68,3,Completed,2026-05-15 09:00:00,2026-05-15 09:53:00,53
55,69,6,Completed,2026-04-30 16:30:00,2026-04-30 17:00:00,30
56,70,8,Completed,2026-05-15 14:00:00,2026-05-15 14:23:00,23
57,71,7,Completed,2026-05-18 09:00:00,2026-05-18 09:37:00,37
58,73,7,Completed,2026-08-04 16:45:00,2026-08-04 17:31:00,46
59,74,3,Completed,2026-07-29 17:00:00,2026-07-29 17:42:00,42
60,75,3,Completed,2026-07-02 16:30:00,2026-07-02 16:52:00,22
61,76,6,Completed,2026-03-20 09:00:00,2026-03-20 09:33:00,33
62,77,4,Interrupted,2026-04-05 11:30:00,2026-04-05 11:39:00,9
63,78,3,Completed,2026-05-12 16:45:00,2026-05-12 17:16:00,31
64,79,7,Completed,2026-03-12 12:30:00,2026-03-12 12:54:00,24
65,81,1,No-show,2026-07-10 09:45:00,,
66,82,6,Completed,2026-05-24 10:30:00,2026-05-24 11:17:00,47
67,83,1,Completed,2026-04-28 15:30:00,2026-04-28 15:57:00,27
68,84,2,Completed,2026-05-24 14:15:00,2026-05-24 15:04:00,49
69,85,6,Completed,2026-03-18 10:15:00,2026-03-18 11:02:00,47
70,87,6,Completed,2026-05-30 15:30:00,2026-05-30 16:11:00,41
71,88,2,Completed,2026-06-13 11:00:00,2026-06-13 11:52:00,52
72,89,5,Completed,2026-03-17 12:30:00,2026-03-17 13:12:00,42
73,90,4,Completed,2026-06-10 11:30:00,2026-06-10 12:02:00,32
74,91,6,Completed,2026-04-08 10:15:00,2026-04-08 11:06:00,51
75,92,5,Completed,2026-06-26 16:30:00,2026-06-26 17:10:00,40
76,93,3,Completed,2026-04-25 16:45:00,2026-04-25 17:24:00,39
77,95,5,Completed,2026-05-04 14:00:00,2026-05-04 14:39:00,39
78,96,6,Completed,2026-07-12 09:30:00,2026-07-12 10:08:00,38
79,97,8,Completed,2026-04-17 10:45:00,2026-04-17 11:34:00,49
80,98,6,Interrupted,2026-04-06 09:45:00,2026-04-06 09:59:00,14
81,99,4,Completed,2026-04-28 16:15:00,2026-04-28 16:38:00,23
82,101,7,Completed,2026-08-07 14:00:00,2026-08-07 14:52:00,52
83,102,7,Completed,2026-05-11 16:45:00,2026-05-11 17:38:00,53
84,104,1,Completed,2026-08-04 14:30:00,2026-08-04 15:08:00,38
85,105,3,Completed,2026-07-10 14:00:00,2026-07-10 14:41:00,41
86,106,6,Completed,2026-06-30 17:45:00,2026-06-30 18:23:00,38
87,108,5,Completed,2026-05-11 11:30:00,2026-05-11 11:55:00,25
88,109,8,Interrupted,2026-05-09 13:45:00,2026-05-09 13:52:00,7
89,110,5,Completed,2026-05-04 15:30:00,2026-05-04 15:58:00,28
90,111,2,Completed,2026-04-19 15:30:00,2026-04-19 15:51:00,21
91,112,3,Completed,2026-05-05 12:30:00,2026-05-05 13:21:00,51
92,113,6,Completed,2026-07-24 11:15:00,2026-07-24 11:39:00,24
93,114,4,No-show,2026-06-26 10:00:00,,
94,115,7,No-show,2026-07-13 11:45:00,,
95,116,7,Completed,2026-06-23 11:45:00,2026-06-23 12:07:00,22
96,117,4,Completed,2026-07-15 12:45:00,2026-07-15 13:23:00,38
97,120,1,Completed,2026-06-22 12:30:00,2026-06-22 13:20:00,50
98,121,2,Completed,2026-06-24 16:45:00,2026-06-24 17:23:00,38
99,123,8,Completed,2026-06-05 15:15:00,2026-06-05 15:47:00,32
100,124,7,No-show,2026-05-12 09:45:00,,
101,127,4,Completed,2026-03-17 10:00:00,2026-03-17 10:38:00,38
102,128,3,Completed,2026-07-08 13:45:00,2026-07-08 14:37:00,52
103,129,4,No-show,2026-07-05 10:15:00,,
104,130,3,No-show,2026-04-10 09:45:00,,
105,131,2,Completed,2026-07-30 14:15:00,2026-07-30 14:59:00,44
106,134,2,Completed,2026-07-27 09:30:00,2026-07-27 09:56:00,26
107,135,7,Completed,2026-06-13 11:00:00,2026-06-13 11:38:00,38
108,136,1,Completed,2026-06-28 11:45:00,2026-06-28 12:33:00,48
109,137,7,Interrupted,2026-06-07 09:30:00,2026-06-07 09:38:00,8
110,138,7,Completed,2026-04-24 17:45:00,2026-04-24 18:12:00,27
111,139,8,Completed,2026-07-06 10:00:00,2026-07-06 10:35:00,35
112,140,6,Completed,2026-05-11 16:00:00,2026-05-11 16:27:00,27
113,141,8,Completed,2026-05-13 09:15:00,2026-05-13 09:44:00,29
114,142,7,Completed,2026-06-05 14:15:00,2026-06-05 15:01:00,46
115,143,3,Completed,2026-07-11 10:30:00,2026-07-11 10:54:00,24
116,144,6,Completed,2026-05-24 17:00:00,2026-05-24 17:44:00,44
117,146,7,Completed,2026-07-16 15:30:00,2026-07-16 16:06:00,36
118,147,8,Completed,2026-06-29 10:30:00,2026-06-29 11:05:00,35
119,148,5,Completed,2026-05-02 14:15:00,2026-05-02 14:37:00,22
120,149,6,Completed,2026-07-11 11:45:00,2026-07-11 12:35:00,50
121,150,7,No-show,2026-07-26 10:45:00,,
